soil_moisture_pct,soil_temp_c,air_temp_c,humidity_pct,rain_detected,moisture_condition,fuzzy_very_dry,fuzzy_semi_dry,fuzzy_moist,fuzzy_wet,snn_pred_class,snn_pred_label,snn_confidence,conf_threshold,snn_logits,snn_softmax,override_applied,pump_status,pca_first5,pca_var_first5,t_read_ms,t_preproc_ms,t_infer_ms,t_cycle_ms,model_hash8,scaler_hash8,fuzzy_hash8,pca_hash8,h1,lr,gt_needed,correct,cum_n,cum_acc,cum_prec,cum_rec,cum_f1
52.7,20,20.4,51,No,Moist,0.0048,0.2087,0.974,0.0241,1,ON,0.9952,0.65,"[-2.9074370861053467, 2.418004274368286]","[0.0048426371067762375, 0.9951573014259338]",TRUE,OFF,"[-1.231435, -0.557424, -0.431454, 0.819842, -0.16247]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1075.16,1.81,12.45,1091.5,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
45.95,20,22.6,58.7,No,Moist,0.0345,0.5493,0.6637,0.003,1,ON,0.9287,0.65,"[-1.567704677581787, 0.9989981651306152]","[0.07131236046552658, 0.9286876320838928]",TRUE,OFF,"[-1.007903, -0.264906, -0.170206, 0.998835, 0.066965]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1083.37,1.68,7.69,1095.48,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
52.7,20,22.6,58.5,No,Moist,0.0048,0.2087,0.974,0.0241,1,ON,0.9933,0.65,"[-2.7699029445648193, 2.2281992435455322]","[0.006705479696393013, 0.9932945370674133]",TRUE,OFF,"[-0.983614, -0.530971, -0.442004, 0.815877, 0.05546]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1091.36,1.54,14.31,1109.75,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
56.76,20,22.6,58.6,No,Moist,0.0012,0.0938,0.9847,0.0671,1,ON,0.9975,0.65,"[-3.2220258712768555, 2.752661943435669]","[0.002535849343985319, 0.9974641799926758]",TRUE,OFF,"[-0.972281, -0.654443, -0.574842, 0.664758, 0.05322]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1085.38,1.66,9.84,1099.15,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
52.7,20.06,22.6,58.9,No,Moist,0.0048,0.2087,0.974,0.0241,1,ON,0.9955,0.65,"[-2.9554874897003174, 2.4402575492858887]","[0.004515357781201601, 0.9954847097396851]",TRUE,OFF,"[-0.982545, -0.53748, -0.437273, 0.819632, 0.065404]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1089.74,1.5,7.57,1101.25,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
52.7,20.06,22.6,58.8,No,Moist,0.0048,0.2087,0.974,0.0241,1,ON,0.9955,0.65,"[-2.9554874897003174, 2.4402575492858887]","[0.004515357781201601, 0.9954847097396851]",TRUE,OFF,"[-0.982593, -0.537506, -0.437195, 0.819679, 0.062938]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1092.17,1.5,7.5,1103.5,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
51.35,20.06,22.7,58.9,No,Moist,0.0073,0.2627,0.9356,0.0165,1,ON,0.9711,0.65,"[-2.070908546447754, 1.4443950653076172]","[0.028879918158054352, 0.9711200594902039]",TRUE,OFF,"[-0.97759, -0.488783, -0.385124, 0.869924, 0.066959]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1092.27,1.49,7.66,1103.91,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
56.76,20.06,22.7,58.9,No,Moist,0.0012,0.0938,0.9847,0.0671,1,ON,0.9996,0.65,"[-4.15718412399292, 3.7522411346435547]","[0.00036713076406158507, 0.9996328353881836]",TRUE,OFF,"[-0.962004, -0.659612, -0.570108, 0.668194, 0.060452]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1094.74,1.51,7.56,1106.37,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
52.7,20,22.7,58.9,No,Moist,0.0048,0.2087,0.974,0.0241,1,ON,0.994,0.65,"[-2.8260738849639893, 2.281010389328003]","[0.006017281673848629, 0.99398273229599]",TRUE,OFF,"[-0.974111, -0.52995, -0.442404, 0.815683, 0.065675]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1089.17,1.48,7.49,1100.45,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
56.76,20.06,22.7,58.9,No,Moist,0.0012,0.0938,0.9847,0.0671,1,ON,0.9996,0.65,"[-4.15718412399292, 3.7522411346435547]","[0.00036713076406158507, 0.9996328353881836]",TRUE,OFF,"[-0.962004, -0.659612, -0.570108, 0.668194, 0.060452]","[0.134816, 0.134078, 0.090157, 0.070748, 0.056924]",1092.26,1.46,7.58,1103.61,cdc32a4d,8744b7f3,030c9f04,2c93f763,69,0.001,,,,,,,
